flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '35', 'delay': None, 'scheduled': '2025-04-01T11:00:00+00:00', 'estimated': '2025-04-01T11:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Palmerston North', 'timezone': 'Pacific/Auckland', 'iata': 'PMR', 'icao': 'NZPM', 'terminal': 'D', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T12:15:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5115', 'iata': 'NZ5115', 'icao': 'ANZ5115', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '45', 'delay': None, 'scheduled': '2025-04-01T11:00:00+00:00', 'estimated': '2025-04-01T11:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Nelson', 'timezone': 'Pacific/Auckland', 'iata': 'NSN', 'icao': 'NZNS', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T12:30:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5067', 'iata': 'NZ5067', 'icao': 'ANZ5067', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': '8', 'delay': None, 'scheduled': '2025-04-01T11:00:00+00:00', 'estimated': '2025-04-01T11:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T16:50:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '284', 'iata': 'NZ284', 'icao': 'ANZ284', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '29', 'delay': None, 'scheduled': '2025-04-01T11:00:00+00:00', 'estimated': '2025-04-01T11:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': None, 'gate': 'D19', 'baggage': None, 'scheduled': '2025-04-01T12:25:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '535', 'iata': 'NZ535', 'icao': 'ANZ535', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': '9', 'delay': None, 'scheduled': '2025-04-01T10:40:00+00:00', 'estimated': '2025-04-01T10:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)', 'timezone': 'Asia/Taipei', 'iata': 'TPE', 'icao': 'RCTP', 'terminal': '2', 'gate': 'C2', 'baggage': '6', 'scheduled': '2025-04-01T17:05:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '77', 'iata': 'NZ77', 'icao': 'ANZ77', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '20', 'delay': None, 'scheduled': '2025-04-01T10:30:00+00:00', 'estimated': '2025-04-01T10:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Queenstown', 'timezone': 'Pacific/Auckland', 'iata': 'ZQN', 'icao': 'NZQN', 'terminal': 'D', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T12:20:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Jetstar', 'iata': 'JQ', 'icao': 'JST'}","{'number': '297', 'iata': 'JQ297', 'icao': 'JST297', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '21', 'delay': None, 'scheduled': '2025-04-01T10:30:00+00:00', 'estimated': '2025-04-01T10:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Wellington International', 'timezone': 'Pacific/Auckland', 'iata': 'WLG', 'icao': 'NZWN', 'terminal': 'D', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T11:35:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Jetstar', 'iata': 'JQ', 'icao': 'JST'}","{'number': '259', 'iata': 'JQ259', 'icao': 'JST259', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '32', 'delay': None, 'scheduled': '2025-04-01T10:10:00+00:00', 'estimated': '2025-04-01T10:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Wellington International', 'timezone': 'Pacific/Auckland', 'iata': 'WLG', 'icao': 'NZWN', 'terminal': 'D', 'gate': '16', 'baggage': None, 'scheduled': '2025-04-01T11:20:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '417', 'iata': 'NZ417', 'icao': 'ANZ417', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '35', 'delay': None, 'scheduled': '2025-04-01T09:30:00+00:00', 'estimated': '2025-04-01T09:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Palmerston North', 'timezone': 'Pacific/Auckland', 'iata': 'PMR', 'icao': 'NZPM', 'terminal': 'D', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T10:45:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air China LTD', 'iata': 'CA', 'icao': 'CCA'}","{'number': '5942', 'iata': 'CA5942', 'icao': 'CCA5942', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '5111', 'flight_iata': 'nz5111', 'flight_icao': 'anz5111'}}",,
2025-04-01,scheduled,"{'airport': 'Palmerston North', 'timezone': 'Pacific/Auckland', 'iata': 'PMR', 'icao': 'NZPM', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T10:25:00+00:00', 'estimated': '2025-04-01T10:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '47', 'baggage': 'DTB3', 'scheduled': '2025-04-01T11:40:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5106', 'iata': 'NZ5106', 'icao': 'ANZ5106', 'codeshared': None}",,
